Wall time,Step,Value
1711355119.7627318,0,0.0729999989271164
1711355130.6449835,1,0.5056999921798706
1711355141.5074012,2,0.045899998396635056
1711355152.2526934,3,0.10639999806880951
1711355163.2812169,4,0.14800000190734863
1711355174.4347115,5,0.0658000037074089
1711355185.4114547,6,0.09529999643564224
1711355196.361146,7,0.08540000021457672
1711355207.308493,8,0.08799999952316284
1711355218.1952188,9,0.07419999688863754
1711355229.1863945,10,0.09449999779462814
1711355240.1527448,11,0.09399999678134918
1711355251.102527,12,0.0908999964594841
1711355262.2595675,13,0.09749999642372131
1711355273.2728202,14,0.1006999984383583
1711355284.2926855,15,0.09350000321865082
1711355295.393864,16,0.09709999710321426
1711355306.3773909,17,0.10209999978542328
1711355317.4051538,18,0.09700000286102295
1711355328.3921325,19,0.10050000250339508
1711355339.4030366,20,0.10220000147819519
1711355350.4934177,21,0.10320000350475311
1711355361.4393413,22,0.09440000355243683
1711355372.321016,23,0.09749999642372131
1711355383.3659525,24,0.09989999979734421
1711355394.3161294,25,0.09910000115633011
1711355405.2820177,26,0.09870000183582306
1711355416.2907443,27,0.09679999947547913
1711355427.2874093,28,0.09960000216960907
1711355438.2588449,29,0.09489999711513519
1711355449.8816307,30,0.10260000079870224
1711355460.839329,31,0.10289999842643738
1711355471.846633,32,0.09950000047683716
1711355482.8930326,33,0.1014999970793724
1711355493.8646533,34,0.09989999979734421
1711355504.9743264,35,0.0989999994635582
1711355515.8383763,36,0.10239999741315842
1711355526.8154767,37,0.09430000185966492
1711355537.922897,38,0.10239999741315842
1711355548.9112208,39,0.09920000284910202
1711355559.7318103,40,0.0982000008225441
1711355570.7001686,41,0.09880000352859497
1711355581.7230792,42,0.09839999675750732
1711355592.6823883,43,0.09969999641180038
1711355603.7094078,44,0.1005999967455864
1711355614.6751554,45,0.0982000008225441
1711355625.6280842,46,0.10010000318288803
1711355636.6370878,47,0.10109999775886536
1711355647.5499082,48,0.10000000149011612
1711355658.5226526,49,0.10080000013113022
1711355669.4214418,50,0.09610000252723694
1711355680.5241513,51,0.09950000047683716
1711355691.585676,52,0.10080000013113022
1711355702.56923,53,0.09910000115633011
1711355713.537831,54,0.10040000081062317
1711355724.5932834,55,0.09799999743700027
1711355735.4758034,56,0.09870000183582306
1711355746.371954,57,0.10029999911785126
1711355757.4283962,58,0.09969999641180038
1711355768.4696507,59,0.09830000251531601
1711355779.388225,60,0.0997999981045723
1711355790.4243572,61,0.09889999777078629
1711355801.40387,62,0.10090000182390213
1711355813.7705102,63,0.10429999977350235
1711355824.7132607,64,0.09889999777078629
1711355835.6458435,65,0.1005999967455864
1711355846.7102497,66,0.09950000047683716
1711355857.7194932,67,0.10050000250339508
1711355868.747163,68,0.09939999878406525
1711355879.7336977,69,0.09939999878406525
1711355890.809812,70,0.10000000149011612
1711355901.6901116,71,0.09790000319480896
1711355912.6084018,72,0.09920000284910202
1711355923.5020247,73,0.09950000047683716
1711355934.3892558,74,0.09920000284910202
1711355945.5638309,75,0.10090000182390213
1711355956.5687833,76,0.10050000250339508
1711355967.7163723,77,0.09969999641180038
1711355978.7395902,78,0.09929999709129333
1711355989.5697153,79,0.09950000047683716
1711356000.4932983,80,0.09860000014305115
1711356011.298441,81,0.10019999742507935
1711356022.2967,82,0.09809999912977219
1711356033.3260775,83,0.09989999979734421
1711356044.3827803,84,0.09929999709129333
1711356055.4202316,85,0.1014999970793724
1711356066.5127957,86,0.1005999967455864
1711356077.5726075,87,0.09989999979734421
1711356088.6390219,88,0.10109999775886536
1711356099.6711512,89,0.09910000115633011
1711356110.7082143,90,0.09889999777078629
1711356121.7062576,91,0.09920000284910202
1711356132.8182237,92,0.09950000047683716
1711356143.9637675,93,0.09870000183582306
1711356155.137148,94,0.09889999777078629
1711356166.134623,95,0.09889999777078629
1711356177.2331097,96,0.10109999775886536
1711356188.3853335,97,0.1014999970793724
1711356199.3357117,98,0.10050000250339508
1711356210.3035219,99,0.09849999845027924
1711356221.3224437,100,0.09860000014305115
1711356232.2740438,101,0.09830000251531601
1711356243.2411427,102,0.09950000047683716
1711356254.2589638,103,0.09880000352859497
1711356265.2649028,104,0.09880000352859497
1711356276.313768,105,0.09870000183582306
1711356287.2978961,106,0.09889999777078629
1711356298.3090982,107,0.09889999777078629
1711356309.349612,108,0.09989999979734421
1711356320.3021479,109,0.1005999967455864
1711356331.2221813,110,0.09910000115633011
1711356342.3041642,111,0.10090000182390213
1711356353.1451144,112,0.09889999777078629
1711356363.9768322,113,0.09969999641180038
1711356374.8999183,114,0.09830000251531601
1711356385.7477374,115,0.09939999878406525
1711356396.7705667,116,0.09759999811649323
1711356407.786258,117,0.09870000183582306
1711356418.6930907,118,0.09880000352859497
